ref_count,n2_year,n2,n1,n1_year
7,2020,14,14,2018
5,2020,14,14,2010
5,2020,14,14,2012
5,2020,14,14,2017
6,2020,14,14,2016
5,2020,14,14,2015
11,2021,14,5109,2019
5,2021,14,5109,2020
10,2021,14,14,2020
9,2021,14,5109,2018
7,2021,14,14,2018
7,2021,14,14,2017
5,2021,14,5109,2016
5,2021,14,14,2019
5,2020,26,148,2019
5,2020,26,148,2018
5,2016,36,36,2014
6,2019,36,36,2016
7,2020,36,36,2019
9,2021,36,36,2020
8,2021,36,36,2019
7,2011,65,65,2010
5,2012,65,65,2010
7,2012,65,65,2011
8,2013,65,65,2010
8,2013,65,65,2011
5,2013,65,65,2012
6,2014,65,65,2010
7,2014,65,65,2011
6,2014,65,65,2014
15,2014,65,65,2013
8,2015,65,65,2011
17,2015,65,65,2013
8,2015,65,65,2015
12,2015,65,65,2014
5,2015,65,65,2012
8,2015,65,65,2010
5,2016,65,65,2012
19,2016,65,65,2014
14,2016,65,65,2013
16,2016,65,65,2015
5,2016,65,65,2011
7,2017,65,65,2017
17,2017,65,65,2013
15,2017,65,65,2014
15,2017,65,65,2016
7,2017,65,65,2011
5,2017,65,65,2010
20,2017,65,65,2015
5,2018,65,65,2018
20,2018,65,65,2017
18,2018,65,65,2015
6,2018,65,65,2011
11,2018,65,65,2016
10,2018,65,65,2013
15,2018,65,65,2014
13,2019,65,65,2014
16,2019,65,65,2016
10,2019,65,65,2019
16,2019,65,65,2017
20,2019,65,65,2018
6,2019,65,2381,2017
15,2019,65,65,2015
10,2019,65,65,2013
5,2019,65,65,2011
5,2019,65,2381,2016
6,2020,65,65,2020
16,2020,65,65,2016
15,2020,65,65,2015
10,2020,65,65,2019
18,2020,65,65,2017
12,2020,65,65,2014
8,2020,65,65,2013
10,2020,65,65,2018
19,2021,65,65,2017
14,2021,65,65,2014
8,2021,65,65,2015
6,2021,65,65,2011
5,2021,65,65,2021
11,2021,65,65,2018
13,2021,65,65,2020
10,2021,65,65,2013
16,2021,65,65,2019
11,2021,65,65,2016
6,2019,109,109,2017
6,2020,109,109,2018
6,2020,109,109,2019
6,2021,109,3568,2019
5,2021,109,3568,2020
8,2021,109,109,2020
11,2021,109,109,2019
6,2011,148,148,2010
6,2013,148,148,2012
5,2013,148,148,2011
6,2013,148,148,2010
7,2014,148,148,2010
5,2014,148,148,2011
10,2014,148,148,2013
5,2015,148,148,2011
10,2015,148,148,2014
9,2015,148,148,2010
6,2015,148,148,2012
10,2015,148,148,2013
11,2016,148,148,2015
9,2016,148,148,2013
10,2016,148,148,2010
7,2016,148,148,2014
11,2017,148,148,2015
8,2017,148,148,2013
12,2017,148,148,2016
10,2017,148,148,2014
12,2018,148,148,2016
10,2018,148,148,2019
8,2018,148,148,2013
13,2018,148,148,2015
7,2018,148,148,2010
10,2018,148,148,2014
20,2018,148,148,2018
12,2018,148,148,2017
13,2019,148,148,2015
7,2019,148,148,2013
35,2019,148,148,2018
13,2019,148,148,2017
8,2019,148,148,2014
17,2019,148,148,2019
14,2019,148,148,2016
14,2020,148,148,2015
25,2020,148,148,2020
9,2020,148,148,2013
7,2020,148,148,2010
10,2020,148,148,2014
40,2020,148,148,2018
5,2020,148,1989,2020
13,2020,148,148,2017
