np,year,cluster_id,kw_count,percent_keyword
349,2017,3104,73,0.20916905444126074
318,2021,26042,143,0.449685534591195
33,2017,63960,9,0.27272727272727271
7,2015,88779,1,0.14285714285714285
13,2009,26042,0,0.0
17,2014,5109,3,0.17647058823529413
1,2006,32715,0,0.0
31,2008,4358,0,0.0
10,2011,5109,3,0.3
6,2007,23892,0,0.0
29,2018,65376,12,0.41379310344827586
24,2015,2381,10,0.41666666666666669
19,2003,15989,0,0.0
2,2005,23892,0,0.0
14,2010,15989,1,0.071428571428571425
1,2002,71862,0,0.0
76,2017,15989,14,0.18421052631578946
11,2015,71862,1,0.090909090909090912
136,2012,3104,28,0.20588235294117646
28,2007,15989,0,0.0
1051,2020,4358,434,0.41294005708848713
8,2015,32715,2,0.25
5,2006,71862,0,0.0
3,2004,23892,0,0.0
1,2001,2381,0,0.0
40,2011,4358,8,0.2
60,2015,23892,11,0.18333333333333332
43,2014,1149,5,0.11627906976744186
2,2008,83276,0,0.0
19,2011,26042,6,0.31578947368421051
26,2013,26042,10,0.38461538461538464
170,2017,2381,82,0.4823529411764706
57,2010,3104,10,0.17543859649122806
47,2015,26042,23,0.48936170212765956
269,2016,3104,53,0.19702602230483271
30,2017,71862,8,0.26666666666666666
84,2014,34467,33,0.39285714285714285
52,2018,63960,13,0.25
12,2009,15989,0,0.0
60,2011,3104,11,0.18333333333333332
11,2011,71862,4,0.36363636363636365
1,2002,26042,0,0.0
31,2018,84697,12,0.38709677419354838
27,2016,83276,2,0.07407407407407407
21,2005,15989,0,0.0
9,2016,84697,1,0.1111111111111111
1,2002,86975,0,0.0
39,2009,34467,0,0.0
7,2003,4358,0,0.0
24,2016,49566,4,0.16666666666666666
2,2007,2381,0,0.0
2,2004,88779,0,0.0
31,2017,49566,7,0.22580645161290322
9,2011,63960,4,0.44444444444444442
270,2021,23892,89,0.32962962962962961
126,2017,23892,32,0.25396825396825395
2,2003,26042,0,0.0
1,2002,49566,0,0.0
4,2009,88779,0,0.0
1,2002,32715,0,0.0
8,2014,2381,2,0.25
83,2016,5109,36,0.43373493975903615
1,2002,5109,0,0.0
56,2019,63960,21,0.375
46,2018,83276,18,0.391304347826087
61,2013,34467,23,0.37704918032786883
3,2004,26042,0,0.0
1043,2020,5109,690,0.66155321188878236
3,2014,86975,0,0.0
6,2008,5109,0,0.0
77,2018,34467,35,0.45454545454545453
4,2009,1149,0,0.0
1,2003,86975,0,0.0
64,2019,65376,32,0.5
6,2011,83276,2,0.33333333333333331
3,2002,34467,0,0.0
68,2015,34467,34,0.5
631,2020,3104,223,0.35340729001584786
30,2009,4358,0,0.0
3,2002,15989,0,0.0
897,2019,2381,485,0.54069119286510592
2,2015,84697,0,0.0
11,2016,32715,4,0.36363636363636365
105,2014,4358,18,0.17142857142857143
34,2017,83276,12,0.35294117647058826
37,2013,23892,11,0.29729729729729731
16,2016,71862,3,0.1875
124,2018,32715,75,0.60483870967741937
299,2020,26042,152,0.50836120401337792
14,2011,23892,2,0.14285714285714285
84,2013,4358,9,0.10714285714285714
2,2011,32715,1,0.5
4,2014,65376,0,0.0
21,2018,88779,7,0.33333333333333331
2,2014,84697,0,0.0
37,2019,84697,14,0.3783783783783784
8,2008,63960,0,0.0
4,2007,49566,0,0.0
6,2016,65376,1,0.16666666666666666
2,2015,86975,0,0.0
52,2016,2381,26,0.5
4,2004,3104,0,0.0
1,2005,49566,0,0.0
1,2004,32715,0,0.0
7,2014,49566,0,0.0
555,2018,4358,171,0.30810810810810813
23,2018,86975,6,0.2608695652173913
1,2003,49566,0,0.0
6,2016,88779,0,0.0
224,2019,23892,71,0.3169642857142857
4,2008,71862,0,0.0
